Search rep 1 (of 2)
random seed = 853654
gen	best_like	time	optPrecision
0	-101113.0297	28	0.5
10	-100820.8477	29	0.5
20	-99463.88968	29	0.5
30	-98493.98737	30	0.5
40	-98312.10553	30	0.5
50	-96647.35981	31	0.5
60	-94451.32369	32	0.5
70	-94064.80284	32	0.5
80	-92886.97454	33	0.5
90	-91512.29965	33	0.5
100	-90517.35366	34	0.5
110	-90300.81805	35	0.5
120	-88132.16511	35	0.5
130	-87799.9098	36	0.5
140	-86355.32816	36	0.5
150	-86125.06835	37	0.5
160	-86024.54664	37	0.5
170	-84979.84955	38	0.5
180	-84043.90482	39	0.5
190	-83362.52924	39	0.5
200	-83291.80983	40	0.5
210	-83244.34687	40	0.5
220	-82563.02346	41	0.5
230	-82522.44927	41	0.5
240	-82244.84075	42	0.5
250	-82198.90106	43	0.5
260	-80830.67788	43	0.5
270	-80297.86066	44	0.5
280	-79288.43519	44	0.5
290	-78557.51741	45	0.5
300	-78503.34478	45	0.5
310	-77614.54839	46	0.5
320	-76538.03957	46	0.5
330	-76464.59157	47	0.5
340	-76374.06924	47	0.5
350	-75778.65476	48	0.5
360	-75766.14777	49	0.5
370	-74619.89639	49	0.5
380	-74463.70233	50	0.5
390	-73808.87366	50	0.5
400	-73032.90792	51	0.5
410	-73006.33487	51	0.5
420	-72906.56377	52	0.5
430	-72490.89132	52	0.5
440	-72402.7476	53	0.5
450	-72367.59175	53	0.5
460	-71459.52105	54	0.5
470	-70690.6552	55	0.5
480	-70688.32998	55	0.5
490	-69774.10168	55	0.5
500	-69757.18877	56	0.5
510	-69755.54355	56	0.5
520	-69108.13277	57	0.5
530	-68939.8519	58	0.5
540	-68894.61966	58	0.5
550	-68894.61966	58	0.5
560	-68796.96332	59	0.5
570	-68790.00753	59	0.5
580	-68444.31206	60	0.5
590	-67838.85468	60	0.5
600	-67518.7818	61	0.5
610	-67517.0523	61	0.5
620	-67487.23389	62	0.5
630	-67414.65302	62	0.5
640	-67035.16876	63	0.5
650	-66784.98145	63	0.5
660	-66750.10446	64	0.5
670	-66597.70036	64	0.5
680	-66220.31136	65	0.5
690	-66136.73245	65	0.5
700	-66093.89128	66	0.5
710	-66092.51107	66	0.5
720	-66058.36884	67	0.5
730	-65768.39892	67	0.5
740	-65695.74167	68	0.5
750	-65692.96024	68	0.5
760	-65691.6879	68	0.5
770	-65619.21496	69	0.5
780	-65619.21496	69	0.5
790	-65611.13894	70	0.5
800	-65360.84324	70	0.5
810	-65360.84324	71	0.5
820	-65356.86001	71	0.5
830	-65356.86001	71	0.5
840	-65312.82483	72	0.5
850	-65250.44599	72	0.5
860	-65249.0973	73	0.5
870	-65249.0973	73	0.5
880	-65040.69938	74	0.5
890	-65040.69938	74	0.5
900	-64392.40941	75	0.5
910	-64358.59015	75	0.5
920	-64121.05938	75	0.5
930	-64117.93083	76	0.5
940	-63332.10981	77	0.5
950	-63151.38524	77	0.5
960	-63130.04928	78	0.5
970	-63105.35674	78	0.5
980	-63058.76922	79	0.5
990	-63057.42141	79	0.5
1000	-63053.1325	80	0.5
1010	-63049.23666	80	0.5
1020	-63029.46305	80	0.5
1030	-62910.53822	81	0.5
1040	-62833.42267	81	0.5
1050	-62763.86621	82	0.5
1060	-62763.86621	82	0.5
1070	-62642.16077	83	0.5
1080	-62640.95474	83	0.5
1090	-62525.13138	84	0.5
1100	-62393.83472	84	0.5
1110	-62393.83472	84	0.5
1120	-62392.95523	85	0.5
1130	-62392.80314	85	0.5
1140	-62391.57903	86	0.5
1150	-62378.72345	86	0.5
1160	-62090.94144	87	0.5
1170	-62088.69992	87	0.5
1180	-62080.29532	88	0.5
1190	-62069.99382	88	0.5
1200	-62063.35127	89	0.5
1210	-62063.23072	89	0.5
1220	-62062.75001	90	0.5
1230	-62062.68122	90	0.5
1240	-62062.50621	90	0.5
1250	-62062.50621	91	0.5
1260	-62061.42679	91	0.5
1270	-62055.81019	92	0.5
1280	-62015.87516	92	0.5
1290	-62012.65662	93	0.5
1300	-62005.35291	93	0.5
1310	-62001.09751	94	0.5
1320	-61999.26547	94	0.5
1330	-61999.26547	95	0.5
1340	-61998.18558	95	0.5
1350	-61997.93004	95	0.5
1360	-61997.64034	96	0.5
1370	-61997.44654	96	0.5
1380	-61997.44654	97	0.5
1390	-61997.44654	97	0.5
1400	-61997.11065	98	0.5
1410	-61997.00866	98	0.5
1420	-61996.73605	99	0.5
1430	-61996.30766	99	0.5
1440	-61996.30766	99	0.5
1450	-61994.66551	100	0.5
1460	-61994.15738	100	0.5
1470	-61994.15738	101	0.5
1480	-61994.11382	101	0.5
1490	-61994.08117	101	0.5
1500	-61993.82985	102	0.5
1510	-61993.40329	102	0.5
1520	-61993.40329	103	0.5
1530	-61993.31761	103	0.5
1540	-61990.30492	103	0.5
1550	-61989.41057	104	0.5
1560	-61989.06789	104	0.5
1570	-61988.92414	105	0.5
1580	-61988.87258	105	0.5
1590	-61988.23504	106	0.5
1600	-61988.1565	106	0.5
1610	-61988.1565	107	0.5
1620	-61988.04424	107	0.5
1630	-61988.04424	107	0.5
1640	-61988.03059	108	0.5
1650	-61984.7538	108	0.5
1660	-61984.7538	108	0.5
1670	-61984.7538	109	0.5
1680	-61984.62581	109	0.5
1690	-61984.61309	110	0.5
1700	-61984.61134	110	0.5
1710	-61983.96933	110	0.5
1720	-61983.66791	111	0.5
1730	-61982.69771	111	0.5
1740	-61982.47128	112	0.5
1750	-61981.3041	112	0.5
1760	-61980.20534	112	0.5
1770	-61979.03001	113	0.5
1780	-61976.76125	113	0.5
1790	-61976.42917	114	0.5
1800	-61976.37419	114	0.5
1810	-61961.56735	115	0.451
1820	-61959.23752	115	0.451
1830	-61956.71346	116	0.451
1840	-61955.99748	116	0.451
1850	-61955.48605	117	0.451
1860	-61954.68549	117	0.451
1870	-61954.40884	117	0.451
1880	-61952.83534	118	0.451
1890	-61952.37856	118	0.451
1900	-61951.65761	118	0.451
1910	-61951.65235	119	0.451
1920	-61951.59713	119	0.451
1930	-61951.17277	119	0.451
1940	-61950.53516	120	0.451
1950	-61950.53516	120	0.451
1960	-61950.35345	121	0.451
1970	-61950.05876	121	0.451
1980	-61950.00055	121	0.451
1990	-61949.63206	122	0.451
2000	-61949.59783	122	0.451
2010	-61949.38491	122	0.451
2020	-61949.26204	123	0.451
2030	-61948.93053	123	0.451
2040	-61948.90858	123	0.451
2050	-61948.43717	124	0.451
2060	-61947.74497	124	0.451
2070	-61947.7316	125	0.451
2080	-61947.50315	125	0.451
2090	-61947.38546	125	0.451
2100	-61947.10593	126	0.451
2110	-61947.10593	126	0.451
2120	-61946.99735	127	0.451
2130	-61946.99083	127	0.451
2140	-61946.99083	127	0.451
