Search rep 1 (of 5)
random seed = 60728
gen	best_like	time	optPrecision
0	-13459.91181	0	0.5
10	-13459.67344	1	0.5
20	-13455.36559	1	0.5
30	-13455.27268	1	0.5
40	-13436.23312	1	0.5
50	-13436.23312	1	0.5
60	-13432.15466	1	0.5
70	-13431.79407	1	0.5
80	-13430.71258	1	0.5
90	-13429.14141	2	0.5
100	-13425.52739	2	0.5
110	-13424.45235	2	0.5
120	-13424.39478	2	0.5
130	-13424.25465	2	0.5
140	-13424.07944	2	0.5
150	-13418.51356	2	0.5
160	-13418.33311	2	0.5
170	-13413.83248	2	0.5
180	-13411.11815	3	0.5
190	-13409.88836	3	0.5
200	-13409.88836	3	0.5
210	-13409.85577	3	0.5
220	-13409.04931	3	0.5
230	-13408.91631	3	0.5
240	-13407.13567	3	0.5
250	-13406.91605	3	0.5
260	-13404.12812	3	0.5
270	-13403.92474	4	0.5
280	-13403.82218	4	0.5
290	-13403.78631	4	0.5
300	-13403.61374	4	0.5
310	-13400.03166	4	0.5
320	-13399.01723	4	0.5
330	-13395.83001	4	0.5
340	-13392.57541	4	0.5
350	-13384.42952	4	0.5
360	-13381.70283	4	0.5
370	-13380.86116	4	0.5
380	-13377.99276	4	0.5
390	-13375.16539	4	0.5
400	-13373.92857	4	0.5
410	-13369.87225	4	0.5
420	-13368.11463	5	0.5
430	-13366.90344	5	0.5
440	-13362.02089	5	0.5
450	-13360.95033	5	0.5
460	-13360.35836	5	0.5
470	-13358.29287	5	0.5
480	-13357.31909	5	0.5
490	-13353.62042	5	0.5
500	-13350.8435	5	0.5
510	-13349.63062	5	0.5
520	-13349.40153	5	0.5
530	-13348.02938	5	0.5
540	-13347.82688	5	0.5
550	-13347.08537	5	0.5
560	-13346.38766	5	0.5
570	-13346.13768	5	0.5
580	-13345.51591	5	0.5
590	-13344.54869	6	0.5
600	-13343.86602	6	0.5
610	-13342.54701	6	0.402
620	-13342.18545	6	0.402
630	-13341.35243	6	0.402
640	-13341.23659	6	0.402
650	-13340.77732	6	0.402
660	-13340.37103	6	0.402
670	-13340.17581	6	0.402
680	-13339.0302	6	0.402
690	-13338.46297	6	0.402
700	-13337.51275	6	0.402
710	-13335.85053	6	0.402
720	-13335.67565	6	0.402
730	-13334.23572	6	0.402
740	-13333.89299	6	0.402
750	-13333.12077	6	0.402
760	-13332.77412	7	0.402
770	-13331.61595	7	0.402
780	-13331.28357	7	0.402
790	-13330.11965	7	0.402
800	-13328.14554	7	0.402
810	-13327.44907	7	0.402
820	-13327.01089	7	0.402
830	-13326.23726	7	0.402
840	-13325.9109	7	0.402
850	-13324.90923	7	0.402
860	-13324.67272	7	0.402
870	-13324.46691	7	0.402
880	-13324.33748	7	0.402
890	-13323.91681	7	0.402
900	-13323.89915	7	0.402
910	-13323.58345	7	0.402
920	-13323.3093	8	0.402
930	-13322.99136	8	0.402
940	-13322.28545	8	0.402
950	-13322.23005	8	0.402
960	-13321.63344	8	0.402
970	-13321.4784	8	0.402
980	-13321.26787	8	0.402
990	-13320.7862	8	0.402
1000	-13320.563	8	0.402
1010	-13320.20612	8	0.402
1020	-13319.96599	8	0.402
1030	-13319.86504	8	0.402
1040	-13319.73881	8	0.402
1050	-13319.73881	8	0.402
1060	-13319.45147	8	0.402
1070	-13319.40278	8	0.402
1080	-13319.39731	9	0.402
1090	-13319.38467	9	0.402
1100	-13319.38467	9	0.402
1110	-13319.33263	9	0.304
1120	-13318.7688	9	0.304
1130	-13318.72511	9	0.304
1140	-13318.72511	9	0.304
1150	-13318.70024	9	0.304
1160	-13318.58557	9	0.304
1170	-13318.58153	9	0.304
1180	-13318.28093	9	0.304
1190	-13318.21657	9	0.304
1200	-13318.12959	9	0.304
1210	-13318.06677	9	0.304
1220	-13317.91416	10	0.304
1230	-13317.82748	10	0.304
1240	-13317.82748	10	0.304
1250	-13317.61508	10	0.304
1260	-13317.41727	10	0.304
1270	-13317.3177	10	0.304
1280	-13317.3177	10	0.304
1290	-13317.3177	10	0.304
1300	-13317.23586	10	0.304
1310	-13317.21062	10	0.304
1320	-13317.12145	10	0.304
1330	-13317.03764	10	0.304
1340	-13316.96991	10	0.304
1350	-13316.82373	10	0.304
1360	-13316.8193	11	0.304
1370	-13316.79041	11	0.304
1380	-13316.76205	11	0.304
1390	-13316.69682	11	0.304
1400	-13316.66998	11	0.304
1410	-13316.64092	11	0.304
1420	-13316.63647	11	0.304
1430	-13316.59711	11	0.304
1440	-13316.57653	11	0.304
1450	-13316.57653	11	0.304
1460	-13316.52578	11	0.304
1470	-13316.52287	11	0.304
1480	-13316.47763	12	0.304
1490	-13316.47083	12	0.304
1500	-13316.39387	12	0.304
1510	-13316.35701	12	0.304
1520	-13316.35701	12	0.304
1530	-13316.33587	12	0.304
1540	-13316.33419	12	0.304
1550	-13316.33419	12	0.304
1560	-13316.33419	12	0.304
1570	-13316.33419	12	0.304
1580	-13316.33419	12	0.304
1590	-13316.33387	13	0.304
1600	-13316.28827	13	0.304
1610	-13316.23489	13	0.206
1620	-13316.22815	13	0.206
1630	-13316.22815	13	0.206
1640	-13316.22815	13	0.206
1650	-13316.22815	13	0.206
1660	-13316.21571	13	0.206
1670	-13316.2142	13	0.206
1680	-13316.1911	13	0.206
1690	-13316.17612	14	0.206
1700	-13316.17395	14	0.206
1710	-13316.17021	14	0.206
1720	-13316.17021	14	0.206
1730	-13316.16157	14	0.206
1740	-13316.16157	14	0.206
