Search rep 1 (of 5)
random seed = 406932
gen	best_like	time	optPrecision
0	-13490.0811	1	0.5
10	-13374.29999	1	0.5
20	-13374.23319	1	0.5
30	-13374.20572	1	0.5
40	-13336.92602	1	0.5
50	-13336.92566	1	0.5
60	-13325.49332	1	0.5
70	-13324.96079	2	0.5
80	-13324.67627	2	0.5
90	-13324.51124	2	0.5
100	-13324.39124	2	0.5
110	-13324.20155	2	0.5
120	-13324.06185	2	0.5
130	-13323.89357	2	0.5
140	-13323.89276	2	0.5
150	-13323.49276	2	0.5
160	-13323.42757	3	0.5
170	-13323.37692	3	0.5
180	-13323.37692	3	0.5
190	-13323.3742	3	0.5
200	-13323.13567	3	0.5
210	-13323.03843	3	0.5
220	-13322.98322	3	0.5
230	-13322.97665	3	0.5
240	-13322.97246	3	0.5
250	-13322.92396	3	0.5
260	-13322.91993	4	0.5
270	-13322.85394	4	0.5
280	-13322.62924	4	0.5
290	-13322.62605	4	0.5
300	-13322.60346	4	0.5
310	-13322.60346	4	0.5
320	-13322.57552	4	0.5
330	-13322.57552	4	0.5
340	-13322.57106	5	0.5
350	-13322.57106	5	0.5
360	-13322.56375	5	0.5
370	-13322.56375	5	0.5
380	-13322.55287	5	0.5
390	-13322.50803	5	0.5
400	-13322.47816	5	0.5
410	-13322.47816	6	0.5
420	-13322.47816	6	0.5
430	-13322.47816	6	0.5
440	-13322.47816	6	0.5
450	-13322.46686	6	0.5
460	-13322.46686	6	0.5
470	-13322.46686	6	0.5
480	-13322.19862	7	0.5
490	-13322.06992	7	0.5
500	-13321.87547	7	0.5
510	-13321.87547	7	0.5
520	-13321.81395	7	0.5
530	-13321.76208	7	0.5
540	-13321.76208	7	0.5
550	-13321.60849	7	0.5
560	-13321.57194	7	0.5
570	-13321.551	8	0.5
580	-13321.47403	8	0.5
590	-13321.47403	8	0.5
600	-13321.47403	8	0.5
610	-13319.59121	8	0.402
620	-13319.55148	8	0.402
630	-13319.50292	8	0.402
640	-13319.2316	8	0.402
650	-13318.94168	8	0.402
660	-13318.81817	8	0.402
670	-13318.77936	9	0.402
680	-13318.75982	9	0.402
690	-13318.74722	9	0.402
700	-13318.70112	9	0.402
710	-13318.66809	9	0.402
720	-13318.6542	9	0.402
730	-13318.64871	9	0.402
740	-13318.59713	9	0.402
750	-13318.5966	9	0.402
760	-13318.57454	9	0.402
770	-13318.57203	9	0.402
780	-13318.46912	9	0.402
790	-13318.46912	9	0.402
800	-13318.46856	9	0.402
810	-13318.46781	9	0.402
820	-13318.46781	10	0.402
830	-13318.40551	10	0.402
840	-13318.37206	10	0.402
850	-13318.26884	10	0.402
860	-13318.2574	10	0.402
870	-13318.2574	10	0.402
880	-13318.2574	10	0.402
890	-13318.25655	10	0.402
900	-13318.23403	10	0.402
910	-13318.2299	10	0.402
920	-13318.22587	10	0.402
930	-13318.20646	10	0.402
940	-13318.173	10	0.402
950	-13318.173	11	0.402
960	-13318.14896	11	0.402
970	-13318.08722	11	0.402
980	-13318.07017	11	0.402
990	-13318.06091	11	0.402
1000	-13318.06091	11	0.402
1010	-13318.06091	11	0.402
1020	-13318.06091	11	0.402
1030	-13318.06091	11	0.402
1040	-13318.05977	11	0.402
1050	-13318.02462	11	0.402
1060	-13318.02462	11	0.402
1070	-13318.02462	11	0.402
1080	-13318.02213	11	0.402
1090	-13318.01818	12	0.402
1100	-13317.99538	12	0.402
1110	-13317.9589	12	0.304
1120	-13317.94955	12	0.304
1130	-13317.94955	12	0.304
1140	-13317.94955	12	0.304
1150	-13317.93711	12	0.304
1160	-13317.93711	12	0.304
1170	-13317.93711	12	0.304
1180	-13317.92948	12	0.304
1190	-13317.92834	12	0.304
1200	-13317.88246	12	0.304
1210	-13317.88246	13	0.304
1220	-13317.88246	13	0.304
1230	-13317.88246	13	0.304
1240	-13317.88246	13	0.304
1250	-13317.84679	13	0.304
1260	-13317.84679	13	0.304
1270	-13317.84572	13	0.304
1280	-13317.84572	13	0.304
1290	-13317.84572	13	0.304
1300	-13317.84314	13	0.304
1310	-13317.84293	14	0.304
1320	-13317.84184	14	0.304
1330	-13317.84184	14	0.304
1340	-13317.84184	14	0.304
1350	-13317.84184	14	0.304
1360	-13317.83326	14	0.304
1370	-13317.83326	14	0.304
1380	-13317.83326	14	0.304
1390	-13317.78328	14	0.304
1400	-13317.78221	14	0.304
1410	-13317.76229	14	0.304
1420	-13317.76229	15	0.304
1430	-13317.759	15	0.304
1440	-13317.75679	15	0.304
1450	-13317.75679	15	0.304
1460	-13317.75679	15	0.304
1470	-13317.75634	15	0.304
1480	-13317.74915	15	0.304
1490	-13317.74915	15	0.304
1500	-13317.74907	15	0.304
1510	-13317.72829	15	0.304
1520	-13317.72829	16	0.304
1530	-13317.72829	16	0.304
1540	-13317.72829	16	0.304
1550	-13317.72829	16	0.304
1560	-13317.72829	16	0.304
1570	-13317.72829	16	0.304
1580	-13317.7278	16	0.304
1590	-13317.72287	16	0.304
1600	-13317.71347	16	0.304
1610	-13317.70469	17	0.206
1620	-13317.69782	17	0.206
1630	-13317.69782	17	0.206
1640	-13317.69782	17	0.206
1650	-13317.66852	17	0.206
1660	-13317.65347	17	0.206
1670	-13317.65234	17	0.206
1680	-13317.64329	17	0.206
1690	-13317.64125	17	0.206
1700	-13317.62107	18	0.206
1710	-13317.61836	18	0.206
1720	-13317.59447	18	0.206
1730	-13317.59447	18	0.206
1740	-13317.59447	18	0.206
1750	-13317.59357	18	0.206
1760	-13317.59314	18	0.206
1770	-13317.59314	18	0.206
1780	-13317.59314	18	0.206
1790	-13317.59314	18	0.206
1800	-13317.59314	18	0.206
1810	-13317.59078	19	0.206
1820	-13317.59078	19	0.206
1830	-13317.59078	19	0.206
1840	-13317.59078	19	0.206
1850	-13317.5885	19	0.206
1860	-13317.5885	19	0.206
1870	-13317.5885	19	0.206
1880	-13317.5885	19	0.206
1890	-13317.5885	19	0.206
1900	-13317.58753	20	0.206
1910	-13317.58753	20	0.206
1920	-13317.58753	20	0.206
1930	-13317.58753	20	0.206
1940	-13317.58753	20	0.206
1950	-13317.58753	20	0.206
1960	-13317.58753	20	0.206
1970	-13317.58753	20	0.206
1980	-13317.58728	20	0.206
1990	-13317.58728	20	0.206
2000	-13317.582	21	0.206
2010	-13317.582	21	0.206
2020	-13317.582	21	0.206
2030	-13317.582	21	0.206
2040	-13317.582	21	0.206
2050	-13317.582	21	0.206
2060	-13317.582	21	0.206
2070	-13317.582	21	0.206
2080	-13317.582	21	0.206
2090	-13317.57753	21	0.206
2100	-13317.57753	22	0.206
2110	-13317.57344	22	0.108
2120	-13317.57263	22	0.108
2130	-13317.57257	22	0.108
2140	-13317.57257	22	0.108
2150	-13317.57257	22	0.108
2160	-13317.57257	22	0.108
2170	-13317.57257	22	0.108
2180	-13317.57257	23	0.108
2190	-13317.57228	23	0.108
2200	-13317.57228	23	0.108
2210	-13317.57228	23	0.108
2220	-13317.57228	23	0.108
2230	-13317.56999	23	0.108
2240	-13317.56997	23	0.108
2250	-13317.56997	23	0.108
2260	-13317.56997	23	0.108
2270	-13317.56997	24	0.108
2280	-13317.56789	24	0.108
2290	-13317.56789	24	0.108
2300	-13317.56789	24	0.108
2310	-13317.56789	24	0.108
2320	-13317.56658	24	0.108
2330	-13317.56658	24	0.108
2340	-13317.56658	24	0.108
2350	-13317.56658	24	0.108
2360	-13317.56519	24	0.108
2370	-13317.56519	25	0.108
2380	-13317.56519	25	0.108
2390	-13317.56519	25	0.108
2400	-13317.56519	25	0.108
2410	-13317.56056	25	0.108
2420	-13317.56056	25	0.108
2430	-13317.56056	25	0.108
2440	-13317.56056	25	0.108
2450	-13317.56056	25	0.108
2460	-13317.56056	26	0.108
2470	-13317.56056	26	0.108
2480	-13317.56056	26	0.108
2490	-13317.56048	26	0.108
2500	-13317.56048	26	0.108
2510	-13317.56027	26	0.108
2520	-13317.56027	26	0.108
2530	-13317.56027	26	0.108
2540	-13317.56027	26	0.108
2550	-13317.55523	27	0.108
2560	-13317.55523	27	0.108
2570	-13317.55523	27	0.108
2580	-13317.55523	27	0.108
2590	-13317.55523	27	0.108
2600	-13317.55413	27	0.108
2610	-13317.55338	27	0.01
2620	-13317.55338	27	0.01
2630	-13317.54977	28	0.01
2640	-13317.54799	28	0.01
2650	-13317.54799	28	0.01
2660	-13317.54799	28	0.01
2670	-13317.54799	28	0.01
2680	-13317.54799	28	0.01
2690	-13317.54799	28	0.01
2700	-13317.54706	29	0.01
2710	-13317.54706	29	0.01
2720	-13317.54706	29	0.01
2730	-13317.54706	29	0.01
2740	-13317.54535	29	0.01
2750	-13317.54535	29	0.01
2760	-13317.54535	29	0.01
2770	-13317.54314	29	0.01
2780	-13317.53888	30	0.01
2790	-13317.53888	30	0.01
2800	-13317.53888	30	0.01
2810	-13317.53735	30	0.01
2820	-13317.5358	30	0.01
2830	-13317.5358	30	0.01
2840	-13317.5358	30	0.01
2850	-13317.5358	30	0.01
2860	-13317.5358	31	0.01
2870	-13317.5358	31	0.01
2880	-13317.5358	31	0.01
2890	-13317.5358	31	0.01
2900	-13317.5358	31	0.01
2910	-13317.52774	31	0.01
2920	-13317.52774	31	0.01
2930	-13317.52774	32	0.01
2940	-13317.52774	32	0.01
2950	-13317.52753	32	0.01
2960	-13317.52753	32	0.01
2970	-13317.52753	32	0.01
2980	-13317.52753	32	0.01
2990	-13317.52753	32	0.01
3000	-13317.52753	32	0.01
3010	-13317.52753	33	0.01
3020	-13317.52753	33	0.01
3030	-13317.52753	33	0.01
3040	-13317.52753	33	0.01
3050	-13317.52753	33	0.01
3060	-13317.52753	33	0.01
