Search rep 1 (of 5)
random seed = 15967
gen	best_like	time	optPrecision
0	-785.9654237	0	0.5
10	-708.7443202	0	0.5
20	-693.7315261	0	0.5
30	-692.1568014	0	0.5
40	-676.6018262	0	0.5
50	-646.5416588	0	0.5
60	-634.6722429	0	0.5
70	-613.6916482	0	0.5
80	-587.1967291	0	0.5
90	-580.7523704	0	0.5
100	-579.4056369	0	0.5
110	-547.6743619	0	0.5
120	-546.5086252	0	0.5
130	-544.6400614	0	0.5
140	-544.4543909	0	0.5
150	-541.6287415	0	0.5
160	-541.5756786	0	0.5
170	-541.5733065	0	0.5
180	-541.5313653	0	0.5
190	-524.3306373	0	0.5
200	-524.3128153	0	0.5
210	-505.6136189	0	0.5
220	-505.6098536	0	0.5
230	-500.4283151	0	0.5
240	-499.9278527	0	0.5
250	-499.6404779	0	0.5
260	-499.3252469	0	0.5
270	-498.7401127	0	0.5
280	-495.7066759	0	0.5
290	-494.9737444	0	0.5
300	-494.9043441	0	0.5
310	-494.8574641	0	0.5
320	-493.6853398	0	0.5
330	-493.6825622	0	0.5
340	-493.5000042	0	0.5
350	-493.3398842	0	0.5
360	-492.7740387	0	0.5
370	-492.6991693	0	0.5
380	-492.6455542	1	0.5
390	-492.601855	1	0.5
400	-492.4044821	1	0.5
410	-492.3898489	1	0.5
420	-492.2999851	1	0.5
430	-492.2554572	1	0.5
440	-492.0457782	1	0.5
450	-491.934589	1	0.5
460	-491.8820154	1	0.5
470	-491.7226076	1	0.5
480	-491.6031642	1	0.5
490	-491.5706936	1	0.5
500	-490.7163815	1	0.5
510	-489.9192163	1	0.5
520	-489.8608213	1	0.5
530	-489.7633234	1	0.5
540	-489.758063	1	0.5
550	-489.3654948	1	0.5
560	-482.6228945	1	0.5
570	-481.7057624	1	0.5
580	-481.539829	1	0.5
590	-481.4848575	1	0.5
600	-479.6782693	1	0.5
610	-479.6782693	1	0.5
620	-479.6457972	1	0.5
630	-479.5521386	1	0.5
640	-479.5059524	1	0.5
650	-479.4281696	1	0.5
660	-478.6909723	1	0.5
670	-478.6587336	1	0.5
680	-478.5413838	1	0.5
690	-478.5051991	1	0.5
700	-478.4227658	1	0.5
710	-478.3494374	1	0.5
720	-478.3219562	1	0.5
730	-478.3073712	1	0.5
740	-478.2764302	1	0.5
750	-478.1090667	1	0.5
760	-477.5757094	1	0.5
770	-477.388783	1	0.5
780	-477.3617784	1	0.5
790	-477.3148465	1	0.5
800	-477.2835689	1	0.5
810	-477.2686696	1	0.5
820	-477.2633989	1	0.5
830	-477.2631622	1	0.5
840	-477.188161	1	0.5
850	-477.1814681	1	0.5
860	-476.4517897	1	0.5
870	-476.3541271	1	0.5
880	-476.2850823	1	0.5
890	-476.2271265	1	0.5
900	-476.2220298	1	0.5
910	-476.2168656	1	0.5
920	-476.1500687	1	0.5
930	-476.0589364	1	0.5
940	-476.0575133	1	0.5
950	-476.0575133	1	0.5
960	-476.0405776	1	0.5
970	-476.0283139	1	0.5
980	-475.9316283	1	0.5
990	-475.8750561	1	0.5
1000	-475.8419319	2	0.5
1010	-475.4381349	2	0.5
1020	-475.3777094	2	0.5
1030	-475.373979	2	0.5
1040	-475.3308016	2	0.5
1050	-475.227417	2	0.5
1060	-475.2212244	2	0.5
1070	-475.2042946	2	0.5
1080	-475.1415505	2	0.5
1090	-475.111338	2	0.5
1100	-475.1092788	2	0.5
1110	-475.026916	2	0.5
1120	-474.9963518	2	0.5
1130	-474.9810974	2	0.5
1140	-474.9453617	2	0.5
1150	-474.902247	2	0.5
