Search rep 1 (of 5)
random seed = 66012
gen	best_like	time	optPrecision
0	-13505.72716	0	0.5
10	-13488.71141	0	0.5
20	-13487.92937	0	0.5
30	-13487.69342	0	0.5
40	-13487.18468	0	0.5
50	-13487.11388	1	0.5
60	-13486.76441	1	0.5
70	-13486.76441	1	0.5
80	-13483.91063	1	0.5
90	-13481.21883	1	0.5
100	-13481.13105	1	0.5
110	-13480.1521	1	0.5
120	-13477.6918	1	0.5
130	-13475.76403	1	0.5
140	-13474.16242	1	0.5
150	-13474.13949	1	0.5
160	-13473.30116	2	0.5
170	-13470.41205	2	0.5
180	-13467.21969	2	0.5
190	-13466.89845	2	0.5
200	-13465.32596	2	0.5
210	-13463.68651	2	0.5
220	-13463.68442	2	0.5
230	-13460.65049	2	0.5
240	-13457.54481	2	0.5
250	-13456.20505	2	0.5
260	-13455.84619	2	0.5
270	-13455.84619	3	0.5
280	-13455.67077	3	0.5
290	-13453.16266	3	0.5
300	-13452.93661	3	0.5
310	-13449.27747	3	0.5
320	-13446.91046	3	0.5
330	-13442.62253	3	0.5
340	-13441.21491	3	0.5
350	-13437.65624	3	0.5
360	-13433.49551	3	0.5
370	-13432.38296	3	0.5
380	-13431.32143	3	0.5
390	-13427.33808	3	0.5
400	-13426.1355	3	0.5
410	-13424.04169	3	0.5
420	-13421.27418	3	0.5
430	-13418.87334	3	0.5
440	-13416.06934	3	0.5
450	-13413.96707	3	0.5
460	-13410.33089	4	0.5
470	-13410.157	4	0.5
480	-13409.74256	4	0.5
490	-13408.04181	4	0.5
500	-13406.46082	4	0.5
510	-13405.31346	4	0.5
520	-13404.4867	4	0.5
530	-13404.4121	4	0.5
540	-13402.98682	4	0.5
550	-13400.51084	4	0.5
560	-13399.10703	4	0.5
570	-13396.67664	4	0.5
580	-13395.77075	4	0.5
590	-13392.37408	4	0.5
600	-13388.30967	4	0.5
610	-13385.06609	4	0.402
620	-13385.01558	4	0.402
630	-13384.69665	4	0.402
640	-13383.50734	4	0.402
650	-13382.82744	4	0.402
660	-13380.76973	4	0.402
670	-13378.32931	4	0.402
680	-13377.64923	4	0.402
690	-13377.17631	4	0.402
700	-13376.36202	5	0.402
710	-13375.19953	5	0.402
720	-13374.29631	5	0.402
730	-13372.66637	5	0.402
740	-13372.17625	5	0.402
750	-13371.30429	5	0.402
760	-13370.94483	5	0.402
770	-13369.67111	5	0.402
780	-13368.2707	5	0.402
790	-13367.92863	5	0.402
800	-13367.13348	5	0.402
810	-13366.26529	5	0.402
820	-13365.85216	5	0.402
830	-13364.77763	5	0.402
840	-13364.77763	5	0.402
850	-13364.45427	5	0.402
860	-13362.67903	5	0.402
870	-13361.28252	5	0.402
880	-13360.91703	5	0.402
890	-13359.4232	5	0.402
900	-13358.55159	5	0.402
910	-13358.31132	5	0.402
920	-13358.29734	5	0.402
930	-13356.45298	5	0.402
940	-13355.20943	5	0.402
950	-13352.84175	5	0.402
960	-13352.59374	6	0.402
970	-13352.06418	6	0.402
980	-13351.93765	6	0.402
990	-13351.55173	6	0.402
1000	-13351.13069	6	0.402
1010	-13350.94605	6	0.402
1020	-13350.14223	6	0.402
1030	-13348.90539	6	0.402
1040	-13347.94308	6	0.402
1050	-13347.7921	6	0.402
1060	-13347.61937	6	0.402
1070	-13347.4391	6	0.402
1080	-13346.97266	6	0.402
1090	-13345.95269	6	0.402
1100	-13345.69994	6	0.402
1110	-13344.32424	6	0.304
1120	-13343.46035	6	0.304
1130	-13342.98433	6	0.304
1140	-13342.74986	6	0.304
1150	-13342.53507	6	0.304
1160	-13342.4421	6	0.304
1170	-13342.4421	6	0.304
1180	-13342.32703	6	0.304
1190	-13341.30904	7	0.304
1200	-13341.01594	7	0.304
1210	-13340.81622	7	0.304
1220	-13339.81751	7	0.304
1230	-13339.81751	7	0.304
1240	-13339.72368	7	0.304
1250	-13339.4307	7	0.304
1260	-13336.575	7	0.304
1270	-13335.66979	7	0.304
1280	-13335.57547	7	0.304
1290	-13335.54061	7	0.304
1300	-13335.44463	7	0.304
1310	-13335.10672	7	0.304
1320	-13335.05496	7	0.304
1330	-13334.84309	7	0.304
1340	-13334.58526	7	0.304
