Search rep 1 (of 2)
random seed = 35522
gen	best_like	time	optPrecision
0	-136929.0116	8	0.5
10	-136887.6926	9	0.5
20	-136557.2345	9	0.5
30	-136386.2745	10	0.5
40	-136335.9082	10	0.5
50	-136088.1945	11	0.5
60	-135405.7522	11	0.5
70	-135047.8093	11	0.5
80	-133825.0744	12	0.5
90	-133291.9175	12	0.5
100	-133168.8316	13	0.5
110	-132899.714	13	0.5
120	-132670.8903	13	0.5
130	-132341.5866	14	0.5
140	-132133.6133	14	0.5
150	-131502.6932	15	0.5
160	-131265.3311	15	0.5
170	-131214.0622	15	0.5
180	-130464.6973	16	0.5
190	-129598.4113	16	0.5
200	-129309.4737	17	0.5
210	-129193.4442	17	0.5
220	-128627.3693	17	0.5
230	-127904.2895	18	0.5
240	-127717.2843	18	0.5
250	-127621.7629	19	0.5
260	-127493.462	19	0.5
270	-126385.5926	19	0.5
280	-125065.7066	20	0.5
290	-124885.0822	20	0.5
300	-124540.1226	20	0.5
310	-124490.1658	21	0.5
320	-124098.4462	21	0.5
330	-123898.1394	22	0.5
340	-123584.7348	22	0.5
350	-123472.4741	22	0.5
360	-123028.0363	23	0.5
370	-122885.168	23	0.5
380	-122854.7152	23	0.5
390	-122526.0764	24	0.5
400	-121778.5174	24	0.5
410	-121062.8638	25	0.5
420	-120606.5833	25	0.5
430	-120461.1447	25	0.5
440	-120371.3299	26	0.5
450	-119913.2641	26	0.5
460	-119052.621	26	0.5
470	-118745.769	27	0.5
480	-118487.9223	27	0.5
490	-118206.2843	28	0.5
500	-117962.1102	28	0.5
510	-117772.0535	28	0.5
520	-117304.7472	29	0.5
530	-117185.5393	29	0.5
540	-116929.0158	29	0.5
550	-116820.4513	30	0.5
560	-115999.514	30	0.5
570	-115925.5918	30	0.5
580	-115811.2517	31	0.5
590	-115236.0145	31	0.5
600	-115125.4442	31	0.5
610	-115045.9849	32	0.5
620	-114802.9646	32	0.5
630	-114521.7961	32	0.5
640	-114322.8263	33	0.5
650	-114168.1685	33	0.5
660	-114068.9188	33	0.5
670	-113654.7978	34	0.5
680	-113584.6246	34	0.5
690	-113159.3368	34	0.5
700	-112988.3557	35	0.5
710	-112951.6802	35	0.5
720	-112905.9375	35	0.5
730	-112666.1039	36	0.5
740	-112605.9142	36	0.5
750	-112524.0458	36	0.5
760	-112454.0104	37	0.5
770	-112437.9139	37	0.5
780	-112432.1699	37	0.5
790	-112348.2292	37	0.5
800	-112238.9557	38	0.5
810	-111921.6152	38	0.5
820	-111731.7773	39	0.5
830	-111329.7938	39	0.5
840	-111014.8406	39	0.5
850	-110855.069	40	0.5
860	-110159.1653	40	0.5
870	-110091.2866	40	0.5
880	-110042.2799	40	0.5
890	-110026.7877	41	0.5
900	-109965.298	41	0.5
910	-109954.6148	41	0.5
920	-109851.402	42	0.5
930	-109547.6817	42	0.5
940	-109523.351	42	0.5
950	-109406.1793	43	0.5
960	-109404.9949	43	0.5
970	-109402.1016	43	0.5
980	-109370.7612	44	0.5
990	-109368.2312	44	0.5
1000	-109368.0865	44	0.5
1010	-109343.9627	45	0.5
1020	-109340.7166	45	0.5
1030	-109339.1686	45	0.5
1040	-109313.0327	46	0.5
1050	-109242.2935	46	0.5
1060	-109183.4137	46	0.5
1070	-108998.0271	47	0.5
1080	-108949.2441	47	0.5
1090	-108945.7111	47	0.5
1100	-108940.8421	47	0.5
1110	-108926.0503	48	0.5
1120	-107110.7897	48	0.5
1130	-107110.7897	48	0.5
1140	-107064.9142	49	0.5
1150	-107064.8079	49	0.5
1160	-107007.0233	49	0.5
1170	-106963.9958	50	0.5
1180	-106859.794	50	0.5
1190	-106802.6627	50	0.5
1200	-106793.1873	51	0.5
1210	-106724.9059	51	0.5
1220	-106655.843	51	0.5
1230	-106655.2794	52	0.5
1240	-106229.4371	52	0.5
1250	-106148.808	52	0.5
1260	-106128.7055	53	0.5
1270	-106117.5721	53	0.5
1280	-106063.2541	53	0.5
1290	-106047.7621	54	0.5
1300	-105800.7642	54	0.5
1310	-105260.6974	54	0.5
1320	-105211.8638	55	0.5
1330	-105211.8638	55	0.5
1340	-105116.0399	55	0.5
1350	-105079.5794	56	0.5
1360	-105023.7778	56	0.5
1370	-104756.2597	56	0.5
1380	-104517.0683	57	0.5
1390	-104512.5303	57	0.5
1400	-104500.5465	57	0.5
1410	-104499.8753	58	0.5
1420	-103485.1974	58	0.5
1430	-103485.0614	59	0.5
1440	-103483.9627	59	0.5
1450	-103478.7056	59	0.5
1460	-103477.3226	60	0.5
1470	-103472.115	60	0.5
1480	-103467.1605	60	0.5
1490	-103462.4725	61	0.5
1500	-103377.889	61	0.5
1510	-103357.5391	61	0.5
1520	-103287.8859	61	0.5
