Search rep 1 (of 5)
random seed = 852004
gen	best_like	time	optPrecision
0	-13370.00554	1	0.5
10	-13331.52657	2	0.5
20	-13331.25468	2	0.5
30	-13319.95803	2	0.5
40	-13319.53005	2	0.5
50	-13319.53005	2	0.5
60	-13319.42267	2	0.5
70	-13319.20903	2	0.5
80	-13319.02858	2	0.5
90	-13319.02858	2	0.5
100	-13318.75875	2	0.5
110	-13318.75875	2	0.5
120	-13318.6918	3	0.5
130	-13318.6918	3	0.5
140	-13318.67738	3	0.5
150	-13318.03798	3	0.5
160	-13318.03798	3	0.5
170	-13318.00773	3	0.5
180	-13317.88994	3	0.5
190	-13317.88346	3	0.5
200	-13317.86398	3	0.5
210	-13317.86244	3	0.5
220	-13317.75838	4	0.5
230	-13317.68772	4	0.5
240	-13317.68772	4	0.5
250	-13317.68772	4	0.5
260	-13317.68772	4	0.5
270	-13317.68772	4	0.5
280	-13317.66103	4	0.5
290	-13317.52471	4	0.5
300	-13317.35386	4	0.5
310	-13317.35386	4	0.5
320	-13317.31751	5	0.5
330	-13317.31751	5	0.5
340	-13317.31751	5	0.5
350	-13317.31751	5	0.5
360	-13317.23419	5	0.5
370	-13317.21712	5	0.5
380	-13317.21712	5	0.5
390	-13317.11526	5	0.5
400	-13317.11237	5	0.5
410	-13317.11066	6	0.5
420	-13317.05928	6	0.5
430	-13317.04815	6	0.5
440	-13317.04586	6	0.5
450	-13317.01279	6	0.5
460	-13317.01279	6	0.5
470	-13317.00404	6	0.5
480	-13317.00352	6	0.5
490	-13317.00352	6	0.5
500	-13316.99313	7	0.5
510	-13316.98931	7	0.5
520	-13316.98931	7	0.5
530	-13316.95647	7	0.5
540	-13316.8836	7	0.5
550	-13316.8836	7	0.5
560	-13316.81087	7	0.5
570	-13316.81087	7	0.5
580	-13316.79839	7	0.5
590	-13316.75335	7	0.5
600	-13316.75335	8	0.5
610	-13316.65766	8	0.402
620	-13316.65766	8	0.402
630	-13316.62249	8	0.402
640	-13316.61034	8	0.402
650	-13316.55455	8	0.402
660	-13316.5506	8	0.402
670	-13316.5482	8	0.402
680	-13316.5482	8	0.402
690	-13316.54015	8	0.402
700	-13316.53197	8	0.402
710	-13316.51527	9	0.402
720	-13316.51527	9	0.402
730	-13316.51527	9	0.402
740	-13316.51527	9	0.402
750	-13316.51071	9	0.402
760	-13316.50156	9	0.402
770	-13316.49125	9	0.402
780	-13316.49125	9	0.402
790	-13316.44795	9	0.402
800	-13316.44795	9	0.402
810	-13316.43994	9	0.402
820	-13316.42609	9	0.402
830	-13316.42609	10	0.402
840	-13316.42609	10	0.402
850	-13316.42609	10	0.402
860	-13316.42507	10	0.402
870	-13316.4201	10	0.402
880	-13316.4201	10	0.402
890	-13316.4201	10	0.402
900	-13316.4201	10	0.402
910	-13316.4201	10	0.402
920	-13316.40262	10	0.402
930	-13316.40262	10	0.402
940	-13316.38502	10	0.402
950	-13316.38395	11	0.402
960	-13316.38395	11	0.402
970	-13316.38395	11	0.402
980	-13316.38395	11	0.402
990	-13316.35742	11	0.402
1000	-13316.35742	11	0.402
1010	-13316.35327	11	0.402
1020	-13316.35327	11	0.402
1030	-13316.34275	11	0.402
1040	-13316.27344	12	0.402
1050	-13316.27344	12	0.402
1060	-13316.27136	12	0.402
1070	-13316.24888	12	0.402
1080	-13316.24882	12	0.402
1090	-13316.24882	12	0.402
1100	-13316.24882	12	0.402
1110	-13316.22498	12	0.304
1120	-13316.22014	12	0.304
1130	-13316.22014	12	0.304
1140	-13316.21597	13	0.304
1150	-13316.21597	13	0.304
1160	-13316.21597	13	0.304
1170	-13316.19966	13	0.304
1180	-13316.18592	13	0.304
1190	-13316.18592	13	0.304
1200	-13316.17579	13	0.304
1210	-13316.17579	13	0.304
1220	-13316.17579	13	0.304
1230	-13316.17539	13	0.304
1240	-13316.17539	14	0.304
1250	-13316.17539	14	0.304
1260	-13316.17539	14	0.304
1270	-13316.17539	14	0.304
1280	-13316.17505	14	0.304
1290	-13316.1715	14	0.304
1300	-13316.17144	14	0.304
1310	-13316.17144	14	0.304
1320	-13316.16515	14	0.304
1330	-13316.16489	14	0.304
1340	-13316.12089	14	0.304
1350	-13316.12089	15	0.304
1360	-13316.12089	15	0.304
1370	-13316.12089	15	0.304
1380	-13316.09721	15	0.304
1390	-13316.09721	15	0.304
1400	-13316.09377	15	0.304
1410	-13316.09127	15	0.304
1420	-13316.09127	15	0.304
1430	-13316.09127	15	0.304
1440	-13316.08964	15	0.304
1450	-13316.06292	16	0.304
1460	-13316.06292	16	0.304
1470	-13316.06292	16	0.304
1480	-13316.06292	16	0.304
1490	-13316.06292	16	0.304
1500	-13316.05179	16	0.304
1510	-13316.04494	16	0.304
1520	-13316.04391	16	0.304
1530	-13316.0305	16	0.304
1540	-13316.0305	16	0.304
1550	-13316.0305	17	0.304
1560	-13316.0268	17	0.304
1570	-13316.0268	17	0.304
1580	-13316.00242	17	0.304
1590	-13316.00242	17	0.304
1600	-13315.99578	17	0.304
1610	-13315.97958	17	0.206
1620	-13315.97958	17	0.206
1630	-13315.96539	17	0.206
1640	-13315.96408	18	0.206
1650	-13315.9544	18	0.206
1660	-13315.9544	18	0.206
1670	-13315.9544	18	0.206
1680	-13315.94914	18	0.206
1690	-13315.94641	18	0.206
1700	-13315.94236	18	0.206
1710	-13315.93311	18	0.206
1720	-13315.93311	18	0.206
1730	-13315.93272	18	0.206
1740	-13315.93272	19	0.206
1750	-13315.93272	19	0.206
1760	-13315.92785	19	0.206
1770	-13315.92785	19	0.206
1780	-13315.92785	19	0.206
1790	-13315.92785	19	0.206
1800	-13315.92785	19	0.206
1810	-13315.92698	19	0.206
1820	-13315.92698	19	0.206
1830	-13315.92246	19	0.206
1840	-13315.92246	20	0.206
1850	-13315.92246	20	0.206
1860	-13315.92246	20	0.206
1870	-13315.90992	20	0.206
1880	-13315.90663	20	0.206
1890	-13315.89028	20	0.206
1900	-13315.89028	20	0.206
1910	-13315.89028	20	0.206
1920	-13315.89028	20	0.206
1930	-13315.89028	20	0.206
1940	-13315.86739	21	0.206
1950	-13315.86739	21	0.206
1960	-13315.86739	21	0.206
1970	-13315.86739	21	0.206
1980	-13315.86423	21	0.206
1990	-13315.86423	21	0.206
2000	-13315.86423	21	0.206
2010	-13315.86423	21	0.206
2020	-13315.86423	21	0.206
2030	-13315.86416	21	0.206
2040	-13315.86416	22	0.206
2050	-13315.86415	22	0.206
2060	-13315.85797	22	0.206
2070	-13315.85797	22	0.206
2080	-13315.85797	22	0.206
2090	-13315.85797	22	0.206
2100	-13315.85797	22	0.206
2110	-13315.85497	22	0.108
2120	-13315.85476	23	0.108
2130	-13315.85461	23	0.108
2140	-13315.85461	23	0.108
2150	-13315.85461	23	0.108
2160	-13315.85401	23	0.108
2170	-13315.85401	23	0.108
2180	-13315.85401	23	0.108
2190	-13315.85401	23	0.108
2200	-13315.85399	23	0.108
2210	-13315.85399	24	0.108
2220	-13315.85399	24	0.108
2230	-13315.85399	24	0.108
2240	-13315.85399	24	0.108
2250	-13315.85399	24	0.108
2260	-13315.85293	24	0.108
2270	-13315.85293	24	0.108
2280	-13315.85293	24	0.108
2290	-13315.85293	24	0.108
2300	-13315.85293	25	0.108
2310	-13315.85293	25	0.108
2320	-13315.85207	25	0.108
2330	-13315.85207	25	0.108
2340	-13315.85207	25	0.108
2350	-13315.85207	25	0.108
2360	-13315.85207	25	0.108
2370	-13315.84607	25	0.108
2380	-13315.84607	25	0.108
2390	-13315.84607	25	0.108
2400	-13315.84607	26	0.108
2410	-13315.84607	26	0.108
2420	-13315.84582	26	0.108
2430	-13315.84582	26	0.108
2440	-13315.84582	26	0.108
2450	-13315.84582	26	0.108
2460	-13315.84582	26	0.108
2470	-13315.84582	26	0.108
2480	-13315.84582	26	0.108
2490	-13315.84582	27	0.108
2500	-13315.84582	27	0.108
2510	-13315.84582	27	0.108
2520	-13315.84533	27	0.108
2530	-13315.84533	27	0.108
2540	-13315.84533	27	0.108
2550	-13315.84533	27	0.108
2560	-13315.84533	27	0.108
2570	-13315.84533	27	0.108
2580	-13315.84533	28	0.108
2590	-13315.84533	28	0.108
2600	-13315.84533	28	0.108
2610	-13315.82789	28	0.01
2620	-13315.82789	28	0.01
2630	-13315.82789	28	0.01
2640	-13315.82789	29	0.01
2650	-13315.82789	29	0.01
2660	-13315.82789	29	0.01
2670	-13315.82789	29	0.01
2680	-13315.82789	29	0.01
2690	-13315.82789	29	0.01
2700	-13315.82789	29	0.01
2710	-13315.82789	29	0.01
2720	-13315.82789	30	0.01
2730	-13315.82789	30	0.01
2740	-13315.82789	30	0.01
2750	-13315.82789	30	0.01
2760	-13315.82789	30	0.01
2770	-13315.8275	30	0.01
2780	-13315.8275	30	0.01
2790	-13315.8275	30	0.01
2800	-13315.8275	31	0.01
2810	-13315.82638	31	0.01
2820	-13315.82638	31	0.01
2830	-13315.82638	31	0.01
2840	-13315.82638	31	0.01
2850	-13315.82638	31	0.01
2860	-13315.82597	31	0.01
2870	-13315.82565	31	0.01
2880	-13315.82565	32	0.01
2890	-13315.82565	32	0.01
2900	-13315.82565	32	0.01
2910	-13315.82435	32	0.01
2920	-13315.82435	32	0.01
2930	-13315.82435	32	0.01
2940	-13315.82435	33	0.01
2950	-13315.82435	33	0.01
2960	-13315.82435	33	0.01
2970	-13315.82435	33	0.01
2980	-13315.82435	33	0.01
2990	-13315.82435	33	0.01
3000	-13315.8242	33	0.01
3010	-13315.8242	33	0.01
3020	-13315.8242	34	0.01
3030	-13315.8242	34	0.01
3040	-13315.8242	34	0.01
3050	-13315.8242	34	0.01
3060	-13315.82399	34	0.01
3070	-13315.82399	34	0.01
3080	-13315.82399	34	0.01
3090	-13315.82399	34	0.01
3100	-13315.82399	35	0.01
3110	-13315.82399	35	0.01
3120	-13315.82399	35	0.01
3130	-13315.82399	35	0.01
3140	-13315.82399	35	0.01
3150	-13315.82399	35	0.01
3160	-13315.82399	35	0.01
3170	-13315.82399	36	0.01
3180	-13315.82399	36	0.01
3190	-13315.82367	36	0.01
3200	-13315.82367	36	0.01
3210	-13315.82367	36	0.01
3220	-13315.81722	36	0.01
3230	-13315.81722	36	0.01
3240	-13315.81722	37	0.01
3250	-13315.8169	37	0.01
3260	-13315.81332	37	0.01
3270	-13315.81332	37	0.01
3280	-13315.81332	37	0.01
3290	-13315.81301	37	0.01
3300	-13315.81301	37	0.01
3310	-13315.81301	38	0.01
3320	-13315.81301	38	0.01
3330	-13315.81301	38	0.01
3340	-13315.81301	38	0.01
3350	-13315.81301	38	0.01
3360	-13315.81301	38	0.01
3370	-13315.81301	38	0.01
3380	-13315.81301	39	0.01
3390	-13315.81301	39	0.01
3400	-13315.81301	39	0.01
3410	-13315.81194	39	0.01
3420	-13315.81194	39	0.01
3430	-13315.8102	39	0.01
3440	-13315.8102	39	0.01
3450	-13315.80929	39	0.01
3460	-13315.80926	40	0.01
3470	-13315.80926	40	0.01
3480	-13315.80926	40	0.01
3490	-13315.80926	40	0.01
3500	-13315.80926	40	0.01
3510	-13315.80883	40	0.01
3520	-13315.80883	40	0.01
3530	-13315.80883	40	0.01
3540	-13315.80883	41	0.01
3550	-13315.80883	41	0.01
3560	-13315.80866	41	0.01
3570	-13315.80866	41	0.01
3580	-13315.80866	41	0.01
3590	-13315.80866	41	0.01
3600	-13315.80866	42	0.01
3610	-13315.80866	42	0.01
3620	-13315.80866	42	0.01
3630	-13315.80856	42	0.01
3640	-13315.80856	42	0.01
3650	-13315.80856	42	0.01
3660	-13315.80856	42	0.01
3670	-13315.80856	43	0.01
3680	-13315.80856	43	0.01
3690	-13315.80856	43	0.01
3700	-13315.80856	43	0.01
3710	-13315.80777	43	0.01
3720	-13315.80777	43	0.01
3730	-13315.80777	43	0.01
3740	-13315.80777	44	0.01
3750	-13315.80777	44	0.01
3760	-13315.80777	44	0.01
3770	-13315.80777	44	0.01
3780	-13315.80777	44	0.01
3790	-13315.80777	44	0.01
3800	-13315.80777	44	0.01
3810	-13315.80777	44	0.01
3820	-13315.80762	45	0.01
3830	-13315.80762	45	0.01
3840	-13315.80762	45	0.01
3850	-13315.80762	45	0.01
3860	-13315.80762	45	0.01
3870	-13315.80762	45	0.01
3880	-13315.80721	45	0.01
3890	-13315.80721	46	0.01
3900	-13315.80721	46	0.01
3910	-13315.80721	46	0.01
3920	-13315.80721	46	0.01
3930	-13315.80721	46	0.01
3940	-13315.80721	46	0.01
3950	-13315.80721	46	0.01
3960	-13315.80721	46	0.01
3970	-13315.80721	47	0.01
3980	-13315.80721	47	0.01
3990	-13315.80721	47	0.01
4000	-13315.80721	47	0.01
4010	-13315.80721	47	0.01
4020	-13315.80721	47	0.01
4030	-13315.80334	47	0.01
4040	-13315.80334	48	0.01
4050	-13315.80334	48	0.01
4060	-13315.8016	48	0.01
4070	-13315.8016	48	0.01
4080	-13315.8016	48	0.01
4090	-13315.8016	48	0.01
4100	-13315.8016	48	0.01
4110	-13315.8016	48	0.01
4120	-13315.8016	49	0.01
4130	-13315.8016	49	0.01
4140	-13315.80071	49	0.01
4150	-13315.80071	49	0.01
4160	-13315.80071	49	0.01
4170	-13315.80071	49	0.01
4180	-13315.80071	49	0.01
4190	-13315.80071	50	0.01
4200	-13315.80071	50	0.01
4210	-13315.80071	50	0.01
4220	-13315.79892	50	0.01
4230	-13315.79892	50	0.01
4240	-13315.79892	50	0.01
4250	-13315.79806	50	0.01
4260	-13315.79806	51	0.01
4270	-13315.79784	51	0.01
4280	-13315.79784	51	0.01
4290	-13315.79784	51	0.01
4300	-13315.79784	51	0.01
4310	-13315.79784	51	0.01
4320	-13315.79784	51	0.01
4330	-13315.79784	52	0.01
4340	-13315.79784	52	0.01
4350	-13315.79784	52	0.01
4360	-13315.79784	52	0.01
4370	-13315.79749	52	0.01
4380	-13315.79749	52	0.01
4390	-13315.79733	52	0.01
4400	-13315.79733	53	0.01
4410	-13315.79733	53	0.01
4420	-13315.79733	53	0.01
4430	-13315.79733	53	0.01
4440	-13315.79733	53	0.01
4450	-13315.79733	53	0.01
4460	-13315.79733	53	0.01
4470	-13315.79715	54	0.01
4480	-13315.79696	54	0.01
4490	-13315.79696	54	0.01
4500	-13315.79696	54	0.01
4510	-13315.79667	54	0.01
4520	-13315.79667	54	0.01
4530	-13315.79667	54	0.01
4540	-13315.79667	55	0.01
4550	-13315.79667	55	0.01
4560	-13315.79667	55	0.01
4570	-13315.79667	55	0.01
4580	-13315.79667	55	0.01
4590	-13315.79667	55	0.01
4600	-13315.79667	55	0.01
4610	-13315.79667	56	0.01
4620	-13315.79667	56	0.01
4630	-13315.79667	56	0.01
4640	-13315.79667	56	0.01
4650	-13315.7957	56	0.01
4660	-13315.7957	56	0.01
4670	-13315.795	56	0.01
4680	-13315.79486	57	0.01
4690	-13315.79486	57	0.01
4700	-13315.79486	57	0.01
4710	-13315.79486	57	0.01
4720	-13315.79486	57	0.01
4730	-13315.79486	57	0.01
4740	-13315.79486	57	0.01
4750	-13315.79486	58	0.01
4760	-13315.79486	58	0.01
4770	-13315.79486	58	0.01
4780	-13315.79486	58	0.01
4790	-13315.79485	58	0.01
4800	-13315.79485	58	0.01
4810	-13315.79485	58	0.01
4820	-13315.79485	59	0.01
4830	-13315.79485	59	0.01
4840	-13315.79485	59	0.01
4850	-13315.79485	59	0.01
4860	-13315.79485	59	0.01
4870	-13315.79485	59	0.01
4880	-13315.79485	59	0.01
